,day_of_the_week,holiday_flg,holiday_name,days_from_last_holiday,days_of_consecutive_holidays
2014-03-19,Wednesday,0,,3.0,0.0
2014-03-20,Thursday,0,,4.0,0.0
2014-03-21,Friday,1,春分の日,0.0,1.0
2014-03-22,Saturday,1,,0.0,2.0
2014-03-23,Sunday,1,,0.0,3.0
2014-03-24,Monday,0,,1.0,0.0
2014-03-25,Tuesday,0,,2.0,0.0
2014-03-26,Wednesday,0,,3.0,0.0
2014-03-27,Thursday,0,,4.0,0.0
2014-03-28,Friday,0,,5.0,0.0
2014-03-29,Saturday,1,,0.0,1.0
2014-03-30,Sunday,1,,0.0,2.0
2014-03-31,Monday,0,,1.0,0.0
2014-04-01,Tuesday,0,,2.0,0.0
2014-04-02,Wednesday,0,,3.0,0.0
2014-04-03,Thursday,0,,4.0,0.0
2014-04-04,Friday,0,,5.0,0.0
2014-04-05,Saturday,1,,0.0,1.0
2014-04-06,Sunday,1,,0.0,2.0
2014-04-07,Monday,0,,1.0,0.0
2014-04-08,Tuesday,0,,2.0,0.0
2014-04-09,Wednesday,0,,3.0,0.0
2014-04-10,Thursday,0,,4.0,0.0
2014-04-11,Friday,0,,5.0,0.0
2014-04-12,Saturday,1,,0.0,1.0
2014-04-13,Sunday,1,,0.0,2.0
2014-04-14,Monday,0,,1.0,0.0
2014-04-15,Tuesday,0,,2.0,0.0
2014-04-16,Wednesday,0,,3.0,0.0
2014-04-17,Thursday,0,,4.0,0.0
2014-04-18,Friday,0,,5.0,0.0
2014-04-19,Saturday,1,,0.0,1.0
2014-04-20,Sunday,1,,0.0,2.0
2014-04-21,Monday,0,,1.0,0.0
2014-04-22,Tuesday,0,,2.0,0.0
2014-04-23,Wednesday,0,,3.0,0.0
2014-04-24,Thursday,0,,4.0,0.0
2014-04-25,Friday,0,,5.0,0.0
2014-04-26,Saturday,1,,0.0,1.0
2014-04-27,Sunday,1,,0.0,2.0
2014-04-28,Monday,0,,1.0,0.0
2014-04-29,Tuesday,1,昭和の日,0.0,1.0
2014-04-30,Wednesday,0,,1.0,0.0
2014-05-01,Thursday,0,,2.0,0.0
2014-05-02,Friday,0,,3.0,0.0
2014-05-03,Saturday,1,憲法記念日,0.0,1.0
2014-05-04,Sunday,1,みどりの日,0.0,2.0
2014-05-05,Monday,1,こどもの日,0.0,3.0
2014-05-06,Tuesday,1,みどりの日 振替休日,0.0,4.0
2014-05-07,Wednesday,0,,1.0,0.0
2014-05-08,Thursday,0,,2.0,0.0
2014-05-09,Friday,0,,3.0,0.0
2014-05-10,Saturday,1,,0.0,1.0
2014-05-11,Sunday,1,,0.0,2.0
2014-05-12,Monday,0,,1.0,0.0
2014-05-13,Tuesday,0,,2.0,0.0
2014-05-14,Wednesday,0,,3.0,0.0
2014-05-15,Thursday,0,,4.0,0.0
2014-05-16,Friday,0,,5.0,0.0
2014-05-17,Saturday,1,,0.0,1.0
2014-05-18,Sunday,1,,0.0,2.0
2014-05-19,Monday,0,,1.0,0.0
2014-05-20,Tuesday,0,,2.0,0.0
2014-05-21,Wednesday,0,,3.0,0.0
2014-05-22,Thursday,0,,4.0,0.0
2014-05-23,Friday,0,,5.0,0.0
2014-05-24,Saturday,1,,0.0,1.0
2014-05-25,Sunday,1,,0.0,2.0
2014-05-26,Monday,0,,1.0,0.0
2014-05-27,Tuesday,0,,2.0,0.0
2014-05-28,Wednesday,0,,3.0,0.0
2014-05-29,Thursday,0,,4.0,0.0
2014-05-30,Friday,0,,5.0,0.0
2014-05-31,Saturday,1,,0.0,1.0
2014-06-01,Sunday,1,,0.0,2.0
2014-06-02,Monday,0,,1.0,0.0
2014-06-03,Tuesday,0,,2.0,0.0
2014-06-04,Wednesday,0,,3.0,0.0
2014-06-05,Thursday,0,,4.0,0.0
2014-06-06,Friday,0,,5.0,0.0
2014-06-07,Saturday,1,,0.0,1.0
2014-06-08,Sunday,1,,0.0,2.0
2014-06-09,Monday,0,,1.0,0.0
2014-06-10,Tuesday,0,,2.0,0.0
2014-06-11,Wednesday,0,,3.0,0.0
2014-06-12,Thursday,0,,4.0,0.0
2014-06-13,Friday,0,,5.0,0.0
2014-06-14,Saturday,1,,0.0,1.0
2014-06-15,Sunday,1,,0.0,2.0
2014-06-16,Monday,0,,1.0,0.0
2014-06-17,Tuesday,0,,2.0,0.0
2014-06-18,Wednesday,0,,3.0,0.0
2014-06-19,Thursday,0,,4.0,0.0
2014-06-20,Friday,0,,5.0,0.0
2014-06-21,Saturday,1,,0.0,1.0
2014-06-22,Sunday,1,,0.0,2.0
2014-06-23,Monday,0,,1.0,0.0
2014-06-24,Tuesday,0,,2.0,0.0
2014-06-25,Wednesday,0,,3.0,0.0
2014-06-26,Thursday,0,,4.0,0.0
2014-06-27,Friday,0,,5.0,0.0
2014-06-28,Saturday,1,,0.0,1.0
2014-06-29,Sunday,1,,0.0,2.0
2014-06-30,Monday,0,,1.0,0.0
2014-07-01,Tuesday,0,,2.0,0.0
2014-07-02,Wednesday,0,,3.0,0.0
2014-07-03,Thursday,0,,4.0,0.0
2014-07-04,Friday,0,,5.0,0.0
2014-07-05,Saturday,1,,0.0,1.0
2014-07-06,Sunday,1,,0.0,2.0
2014-07-07,Monday,0,,1.0,0.0
2014-07-08,Tuesday,0,,2.0,0.0
2014-07-09,Wednesday,0,,3.0,0.0
2014-07-10,Thursday,0,,4.0,0.0
2014-07-11,Friday,0,,5.0,0.0
2014-07-12,Saturday,1,,0.0,1.0
2014-07-13,Sunday,1,,0.0,2.0
2014-07-14,Monday,0,,1.0,0.0
2014-07-15,Tuesday,0,,2.0,0.0
2014-07-16,Wednesday,0,,3.0,0.0
2014-07-17,Thursday,0,,4.0,0.0
2014-07-18,Friday,0,,5.0,0.0
2014-07-19,Saturday,1,,0.0,1.0
2014-07-20,Sunday,1,,0.0,2.0
2014-07-21,Monday,1,海の日,0.0,3.0
